CombinedSpineCont... started logging at time 09072018_160032 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.645015,1.54836,-0.0755004,-0.645015,1.54836,0.0754996,-0.00279896,1.54833,-0.0755005,-0.00279809,1.54833,0.0754995,
0.0202,0,-0.638481,1.54393,-0.0755048,-0.638489,1.54393,0.0754952,-0.00925141,1.54385,-0.075505,-0.00924301,1.54385,0.075495,
0.0303,0,-0.630557,1.53739,-0.0755176,-0.630586,1.53739,0.0754824,-0.0173709,1.53721,-0.0755188,-0.0173422,1.53721,0.0754812,
0.0404,0,-0.622335,1.52927,-0.0755407,-0.6224,1.52926,0.0754593,-0.0259914,1.52895,-0.0755449,-0.0259278,1.52895,0.0754551,
0.0505,0,-0.614322,1.52,-0.0755718,-0.614435,1.51999,0.0754282,-0.0344976,1.51954,-0.0755826,-0.0343878,1.51953,0.0754174,
0.0606,0,-0.606727,1.50992,-0.0756062,-0.606893,1.50991,0.0753937,-0.0425838,1.50933,-0.075627,-0.0424232,1.50931,0.0753729,
0.0707,0,-0.600287,1.50032,-0.0756249,-0.600501,1.50033,0.075375,-0.0485427,1.50038,-0.075562,-0.0481704,1.50053,0.0754375,
0.0808,0,-0.602017,1.50028,-0.0756825,-0.602334,1.50028,0.0753172,-0.0451172,1.50027,-0.0756698,-0.0438321,1.50097,0.0753232,
0.0909,0,-0.603904,1.50026,-0.0756605,-0.604303,1.50026,0.0753389,-0.0420572,1.50024,-0.0770922,-0.0398032,1.50054,0.0738907,
0.101,0,-0.605987,1.50024,-0.0756204,-0.606468,1.50024,0.0753789,-0.0393546,1.50021,-0.0780385,-0.036715,1.50021,0.0729384,
0.1111,0,-0.60798,1.50021,-0.0755669,-0.608553,1.50021,0.075432,-0.0371378,1.50019,-0.0782893,-0.0344891,1.50019,0.0726874,
0.1212,0,-0.609687,1.50019,-0.0755072,-0.610346,1.50019,0.0754913,-0.0352414,1.50017,-0.0784135,-0.0326568,1.50017,0.0725644,
0.1313,0,-0.611019,1.50017,-0.0754486,-0.611744,1.50017,0.0755497,-0.0336132,1.50016,-0.0784635,-0.0311057,1.50016,0.0725156,
0.1414,0,-0.611982,1.50015,-0.0753997,-0.612748,1.50015,0.0755984,-0.0322105,1.50014,-0.0784764,-0.0297687,1.50014,0.0725039,
0.1515,0,-0.612626,1.50014,-0.0753669,-0.613415,1.50014,0.0756311,-0.0310077,1.50013,-0.0784738,-0.0286152,1.50013,0.0725073,
0.1616,0,-0.613017,1.50013,-0.0753498,-0.613814,1.50013,0.0756481,-0.0299961,1.50012,-0.0784665,-0.0276392,1.50012,0.0725151,
0.1717,0,-0.613207,1.50012,-0.0753434,-0.613999,1.50012,0.0756545,-0.0291779,1.50012,-0.078459,-0.0268478,1.50012,0.072523,
0.1818,0,-0.61324,1.50012,-0.0753427,-0.614023,1.50012,0.0756553,-0.0285603,1.50011,-0.078453,-0.0262518,1.50011,0.0725293,
