CombinedSpineCont... started logging at time 09072018_170436 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.646415,1.5488,-0.0755,-0.646415,1.5488,0.0755,-0.00148184,1.54878,-0.0755,-0.0014819,1.54878,0.0755,
0.0202,0,-0.642848,1.54543,-0.0754996,-0.642847,1.54543,0.0755004,-0.00503132,1.54538,-0.0754996,-0.00503193,1.54538,0.0755004,
0.0303,0,-0.638265,1.54024,-0.0754987,-0.638263,1.54024,0.0755013,-0.00977075,1.54011,-0.0754986,-0.00977277,1.54011,0.0755014,
0.0404,0,-0.633119,1.5335,-0.0754971,-0.633115,1.5335,0.0755029,-0.0151821,1.53327,-0.0754967,-0.0151863,1.53327,0.0755033,
0.0505,0,-0.627644,1.52544,-0.0754954,-0.627639,1.52544,0.0755046,-0.0209605,1.5251,-0.0754943,-0.0209669,1.5251,0.0755057,
0.0606,0,-0.621993,1.5163,-0.0754944,-0.621989,1.51629,0.0755056,-0.0269093,1.51584,-0.0754924,-0.0269168,1.51584,0.0755076,
0.0707,0,-0.616301,1.50624,-0.0754952,-0.616301,1.50624,0.0755048,-0.032872,1.50569,-0.0754923,-0.0328776,1.50569,0.0755077,
0.0808,0,-0.613516,1.50039,-0.07549,-0.613522,1.50039,0.07551,-0.0356118,1.50019,-0.0754942,-0.0356136,1.50019,0.0755058,
0.0909,0,-0.615664,1.50016,-0.0754759,-0.615694,1.50016,0.0755241,-0.0343295,1.50018,-0.0754957,-0.0343297,1.50018,0.0755043,
0.101,0,-0.617934,1.50013,-0.0754282,-0.617975,1.50013,0.0755718,-0.0321962,1.50015,-0.0754971,-0.0321972,1.50015,0.0755029,
0.1111,0,-0.62047,1.50011,-0.0753926,-0.620511,1.50011,0.0756074,-0.0294352,1.50012,-0.0754989,-0.0294372,1.50012,0.0755011,
0.1212,0,-0.62305,1.50009,-0.0753628,-0.623081,1.50009,0.0756372,-0.0263428,1.5001,-0.0755005,-0.0263445,1.5001,0.0754995,
