CombinedSpineCont... started logging at time 09072018_172035 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.645483,1.5485,-0.0754997,-0.645482,1.5485,0.0755003,-0.00235951,1.54848,-0.0754997,-0.00236004,1.54848,0.0755003,
0.0202,0,-0.639925,1.54442,-0.075497,-0.63992,1.54442,0.075503,-0.00785933,1.54435,-0.0754969,-0.00786447,1.54435,0.0755031,
0.0303,0,-0.633067,1.5383,-0.075489,-0.633049,1.5383,0.075511,-0.0149001,1.53814,-0.0754884,-0.0149178,1.53814,0.0755116,
0.0404,0,-0.625779,1.53059,-0.0754746,-0.62574,1.53059,0.0755254,-0.0225367,1.5303,-0.0754722,-0.0225758,1.5303,0.0755278,
0.0505,0,-0.618485,1.52166,-0.0754548,-0.618416,1.52166,0.0755452,-0.0302519,1.52123,-0.0754486,-0.0303197,1.52124,0.0755514,
0.0606,0,-0.611391,1.51181,-0.0754329,-0.61129,1.51181,0.0755671,-0.0377668,1.51125,-0.0754207,-0.0378659,1.51126,0.0755793,
0.0707,0,-0.604631,1.50129,-0.0754126,-0.604501,1.50129,0.0755873,-0.0449017,1.50062,-0.0753934,-0.0450291,1.50064,0.0756065,
0.0808,0,-0.605267,1.50025,-0.0753749,-0.605076,1.50025,0.075625,-0.0438275,1.50062,-0.0757238,-0.0439765,1.50038,0.075276,
0.0909,0,-0.607125,1.50023,-0.075374,-0.606894,1.50023,0.0756258,-0.0415923,1.50024,-0.0753519,-0.0419606,1.50024,0.0756476,
0.101,0,-0.609274,1.50021,-0.0753746,-0.609019,1.50021,0.0756252,-0.0394176,1.50022,-0.0754099,-0.039775,1.50022,0.0755897,
0.1111,0,-0.611451,1.50019,-0.0753747,-0.611174,1.50019,0.0756251,-0.0370035,1.50019,-0.075454,-0.0373495,1.50019,0.0755456,
0.1212,0,-0.613461,1.50017,-0.0753745,-0.61316,1.50017,0.0756252,-0.0345704,1.50017,-0.0754884,-0.034913,1.50017,0.0755112,
0.1313,0,-0.615202,1.50015,-0.0753745,-0.614874,1.50015,0.0756252,-0.0323132,1.50015,-0.075515,-0.0326619,1.50015,0.0754846,
0.1414,0,-0.616649,1.50013,-0.0753748,-0.61629,1.50013,0.0756248,-0.0303639,1.50013,-0.0755349,-0.0307269,1.50013,0.0754647,
