CombinedSpineCont... started logging at time 09072018_171249 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.645943,1.54865,-0.0755001,-0.645943,1.54865,0.0754999,-0.00192708,1.54863,-0.0755001,-0.00192683,1.54863,0.0754999,
0.0202,0,-0.641355,1.54492,-0.0755015,-0.641358,1.54492,0.0754985,-0.00647805,1.54486,-0.0755015,-0.0064755,1.54486,0.0754985,
0.0303,0,-0.635581,1.53924,-0.0755055,-0.63559,1.53924,0.0754945,-0.0124228,1.5391,-0.0755058,-0.0124141,1.5391,0.0754942,
0.0404,0,-0.629279,1.53199,-0.0755128,-0.629298,1.53199,0.0754872,-0.0190305,1.53173,-0.0755139,-0.0190112,1.53173,0.0754861,
0.0505,0,-0.622785,1.52346,-0.0755227,-0.622818,1.52346,0.0754773,-0.0258842,1.52307,-0.0755257,-0.0258509,1.52307,0.0754743,
0.0606,0,-0.616292,1.51392,-0.0755334,-0.616339,1.51392,0.0754666,-0.032736,1.51341,-0.0755394,-0.032688,1.51341,0.0754606,
0.0707,0,-0.609945,1.50358,-0.0755427,-0.610003,1.50358,0.0754573,-0.0394071,1.50297,-0.0755521,-0.0393469,1.50296,0.0754479,
0.0808,0,-0.608936,1.50034,-0.0755367,-0.609,1.50036,0.0754633,-0.040285,1.50029,-0.0754713,-0.0402026,1.50036,0.0755286,
0.0909,0,-0.610898,1.5002,-0.0755248,-0.610983,1.5002,0.0754752,-0.0386603,1.50021,-0.0755519,-0.0385015,1.50021,0.075448,
0.101,0,-0.613085,1.50017,-0.0754961,-0.613175,1.50017,0.0755039,-0.0365007,1.50019,-0.075525,-0.036335,1.50019,0.0754749,
0.1111,0,-0.615407,1.50015,-0.0754777,-0.615502,1.50015,0.0755223,-0.0339107,1.50016,-0.0755071,-0.0337392,1.50016,0.0754928,
0.1212,0,-0.617658,1.50013,-0.0754667,-0.617765,1.50013,0.0755333,-0.0311578,1.50013,-0.0754954,-0.0309762,1.50013,0.0755045,
0.1313,0,-0.619719,1.50011,-0.0754612,-0.619843,1.50011,0.0755388,-0.0284918,1.50011,-0.0754882,-0.0282954,1.50011,0.0755117,
0.1414,0,-0.621535,1.50009,-0.0754595,-0.621682,1.50009,0.0755405,-0.0260966,1.50009,-0.0754842,-0.0258815,1.50009,0.0755157,
0.1515,0,-0.623096,1.50008,-0.0754602,-0.62327,1.50008,0.0755397,-0.0240738,1.50007,-0.0754824,-0.0238367,1.50007,0.0755174,
0.1616,0,-0.624414,1.50007,-0.0754622,-0.624618,1.50007,0.0755377,-0.0224525,1.50006,-0.0754823,-0.0221909,1.50006,0.0755174,
0.1717,0,-0.62551,1.50006,-0.0754646,-0.625746,1.50006,0.0755352,-0.021212,1.50005,-0.0754832,-0.0209236,1.50005,0.0755165,
0.1818,0,-0.626401,1.50006,-0.0754671,-0.626672,1.50006,0.0755327,-0.0203058,1.50005,-0.0754845,-0.0199887,1.50005,0.0755152,
0.1919,0,-0.627105,1.50005,-0.0754692,-0.627411,1.50005,0.0755304,-0.0196809,1.50004,-0.0754857,-0.0193332,1.50004,0.0755139,
0.202,0,-0.627634,1.50005,-0.0754709,-0.627977,1.50005,0.0755287,-0.0192891,1.50004,-0.0754864,-0.0189096,1.50004,0.0755131,
0.2121,0,-0.627998,1.50004,-0.0754719,-0.62838,1.50004,0.0755276,-0.0190933,1.50004,-0.0754866,-0.0186806,1.50004,0.0755129,
0.2222,0,-0.628207,1.50004,-0.0754723,-0.628627,1.50004,0.0755272,-0.0190585,1.50004,-0.0754862,-0.0186136,1.50004,0.0755132,
0.2323,0,-0.628268,1.50004,-0.0754721,-0.628728,1.50004,0.0755272,-0.0190584,1.50004,-0.0754856,-0.0186034,1.50004,0.0755137,
0.2424,0,-0.628268,1.50004,-0.0754715,-0.628747,1.50004,0.0755277,-0.0190583,1.50004,-0.0754852,-0.0186032,1.50004,0.0755141,
0.2525,0,-0.628268,1.50004,-0.0754713,-0.628747,1.50004,0.075528,-0.0190566,1.50004,-0.0754848,-0.0186006,1.50004,0.0755145,
0.2626,0,-0.628268,1.50004,-0.0754711,-0.628747,1.50004,0.0755282,-0.0190529,1.50004,-0.0754844,-0.0185959,1.50004,0.0755149,
0.2727,0,-0.628271,1.50005,-0.0754709,-0.62875,1.50005,0.0755283,-0.0190479,1.50004,-0.0754839,-0.0185905,1.50004,0.0755154,
0.2828,0,-0.628275,1.50005,-0.0754708,-0.628755,1.50005,0.0755284,-0.0190418,1.50004,-0.0754834,-0.0185848,1.50004,0.0755159,
0.2929,0,-0.628281,1.50005,-0.0754705,-0.62876,1.50005,0.0755287,-0.0190354,1.50004,-0.0754831,-0.0185786,1.50004,0.0755162,
0.303,0,-0.628287,1.50005,-0.0754703,-0.628765,1.50005,0.0755289,-0.0190301,1.50004,-0.0754833,-0.0185732,1.50004,0.075516,
0.3131,0,-0.628292,1.50005,-0.0754703,-0.62877,1.50005,0.0755289,-0.0190245,1.50004,-0.0754833,-0.018568,1.50004,0.075516,
0.3232,0,-0.628297,1.50005,-0.0754702,-0.628775,1.50005,0.075529,-0.0190191,1.50004,-0.0754834,-0.0185627,1.50004,0.0755159,
0.3333,0,-0.628303,1.50005,-0.0754711,-0.628779,1.50005,0.0755282,-0.0190139,1.50004,-0.0754832,-0.0185577,1.50004,0.0755161,
0.3434,0,-0.628308,1.50005,-0.0754713,-0.628783,1.50005,0.0755279,-0.0190088,1.50004,-0.0754834,-0.018553,1.50004,0.0755159,
0.3535,0,-0.628313,1.50005,-0.0754721,-0.628787,1.50005,0.0755272,-0.0190029,1.50004,-0.0754846,-0.0185488,1.50004,0.0755148,
0.3636,0,-0.628318,1.50005,-0.0754725,-0.628792,1.50005,0.0755267,-0.0189974,1.50004,-0.0754848,-0.0185442,1.50004,0.0755146,
0.3737,0,-0.628323,1.50005,-0.0754727,-0.628796,1.50005,0.0755265,-0.0189923,1.50004,-0.0754842,-0.0185388,1.50004,0.0755152,
0.3838,0,-0.628327,1.50005,-0.0754723,-0.628802,1.50005,0.0755269,-0.0189864,1.50004,-0.0754845,-0.0185342,1.50004,0.0755148,
0.3939,0,-0.628333,1.50005,-0.0754723,-0.628807,1.50005,0.0755269,-0.0189809,1.50004,-0.0754848,-0.0185294,1.50004,0.0755146,
0.404,0,-0.628339,1.50005,-0.0754722,-0.628812,1.50005,0.0755271,-0.0189756,1.50004,-0.0754843,-0.0185238,1.50004,0.075515,
0.4141,0,-0.628344,1.50005,-0.075472,-0.628818,1.50005,0.0755272,-0.0189695,1.50004,-0.075484,-0.0185181,1.50004,0.0755153,
0.4242,0,-0.62835,1.50005,-0.075472,-0.628823,1.50005,0.0755273,-0.0189629,1.50004,-0.0754837,-0.0185125,1.50004,0.0755156,
0.4343,0,-0.628355,1.50005,-0.0754719,-0.628828,1.50005,0.0755273,-0.0189565,1.50004,-0.0754834,-0.0185067,1.50004,0.075516,
0.4444,0,-0.62836,1.50005,-0.0754718,-0.628833,1.50005,0.0755275,-0.0189502,1.50004,-0.0754832,-0.018501,1.50004,0.0755162,
0.4545,0,-0.628365,1.50005,-0.0754718,-0.628838,1.50005,0.0755275,-0.018944,1.50004,-0.0754828,-0.0184955,1.50004,0.0755165,
0.4646,0,-0.62837,1.50005,-0.0754717,-0.628843,1.50005,0.0755276,-0.0189378,1.50004,-0.0754826,-0.0184899,1.50004,0.0755167,
0.4747,0,-0.628375,1.50005,-0.0754717,-0.628848,1.50005,0.0755276,-0.0189316,1.50004,-0.0754824,-0.0184844,1.50004,0.075517,
0.4848,0,-0.62838,1.50005,-0.0754715,-0.628853,1.50005,0.0755277,-0.0189254,1.50004,-0.0754821,-0.0184789,1.50004,0.0755172,
0.4949,0,-0.628385,1.50005,-0.0754715,-0.628858,1.50005,0.0755277,-0.0189191,1.50004,-0.0754818,-0.0184733,1.50004,0.0755175,
0.505,0,-0.628391,1.50005,-0.0754713,-0.628863,1.50005,0.0755279,-0.0189128,1.50004,-0.0754816,-0.0184676,1.50004,0.0755178,
0.5151,0,-0.628396,1.50005,-0.0754711,-0.628868,1.50005,0.0755281,-0.0189064,1.50004,-0.0754812,-0.0184619,1.50004,0.0755181,
0.5252,0,-0.628402,1.50005,-0.0754709,-0.628873,1.50005,0.0755283,-0.0188999,1.50004,-0.075481,-0.018456,1.50004,0.0755184,
0.5353,0,-0.628407,1.50005,-0.0754709,-0.628879,1.50005,0.0755283,-0.0188934,1.50004,-0.0754807,-0.01845,1.50004,0.0755187,
0.5454,0,-0.628413,1.50005,-0.0754708,-0.628884,1.50005,0.0755285,-0.0188869,1.50004,-0.0754804,-0.018444,1.50004,0.075519,
0.5555,0,-0.628418,1.50005,-0.0754708,-0.628889,1.50005,0.0755285,-0.01888,1.50004,-0.0754799,-0.0184385,1.50004,0.0755194,
0.5656,0,-0.628424,1.50005,-0.0754705,-0.628894,1.50005,0.0755288,-0.0188736,1.50004,-0.0754798,-0.0184329,1.50004,0.0755196,
0.5757,0,-0.628431,1.50005,-0.0754703,-0.628899,1.50005,0.075529,-0.0188676,1.50004,-0.0754798,-0.0184276,1.50004,0.0755196,
0.5858,0,-0.628437,1.50005,-0.07547,-0.628904,1.50005,0.0755293,-0.0188618,1.50004,-0.0754796,-0.0184223,1.50004,0.0755198,
0.5959,0,-0.628443,1.50005,-0.0754697,-0.628909,1.50005,0.0755295,-0.0188566,1.50004,-0.0754795,-0.0184167,1.50004,0.0755198,
