CombinedSpineCont... started logging at time 09072018_121617 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.646885,1.54894,-0.0755,-0.646885,1.54894,0.0755,-0.00103917,1.54893,-0.0755,-0.00103911,1.54893,0.0755,
0.0202,0,-0.644346,1.54596,-0.0755003,-0.644347,1.54596,0.0754997,-0.00357362,1.54591,-0.0755003,-0.00357303,1.54591,0.0754997,
0.0303,0,-0.641007,1.54128,-0.0755013,-0.64101,1.54128,0.0754987,-0.00705234,1.54117,-0.0755013,-0.00705016,1.54117,0.0754987,
0.0404,0,-0.637127,1.5351,-0.0755035,-0.637133,1.5351,0.0754965,-0.0111581,1.53491,-0.0755034,-0.0111528,1.53491,0.0754966,
0.0505,0,-0.63284,1.52761,-0.0755073,-0.632853,1.52761,0.0754927,-0.0156985,1.52732,-0.0755072,-0.0156879,1.52732,0.0754928,
0.0606,0,-0.628248,1.51897,-0.0755131,-0.628271,1.51897,0.0754869,-0.0205355,1.51858,-0.075513,-0.0205169,1.51858,0.075487,
0.0707,0,-0.623462,1.50933,-0.0755213,-0.623498,1.50933,0.0754787,-0.0255441,1.50885,-0.0755216,-0.0255144,1.50884,0.0754784,
0.0808,0,-0.61922,1.50017,-0.0755288,-0.619275,1.50018,0.0754712,-0.029695,1.50024,-0.075518,-0.0296516,1.50024,0.075482,
0.0909,0,-0.620885,1.50012,-0.075551,-0.620983,1.50012,0.075449,-0.028118,1.50013,-0.0755443,-0.0280271,1.50013,0.0754557,
0.101,0,-0.623303,1.5001,-0.0755514,-0.623426,1.5001,0.0754486,-0.0258865,1.50011,-0.075512,-0.0257942,1.50011,0.075488,
0.1111,0,-0.626143,1.50007,-0.075551,-0.62628,1.50007,0.0754489,-0.0229061,1.50008,-0.0754878,-0.0228198,1.50008,0.0755122,
0.1212,0,-0.629143,1.50005,-0.075549,-0.629289,1.50005,0.0754509,-0.0194683,1.50006,-0.075467,-0.0193892,1.50006,0.075533,
0.1313,0,-0.63213,1.50004,-0.0755447,-0.63228,1.50004,0.0754552,-0.0158639,1.50004,-0.075448,-0.0157909,1.50004,0.075552,
0.1414,0,-0.634993,1.50002,-0.0755382,-0.635145,1.50002,0.0754617,-0.0123346,1.50002,-0.0754299,-0.0122663,1.50002,0.0755701,
0.1515,0,-0.637672,1.50001,-0.0755297,-0.637824,1.50001,0.0754702,-0.00904803,1.50001,-0.0754125,-0.00898329,1.50001,0.0755875,
0.1616,0,-0.640138,1.50001,-0.0755199,-0.640287,1.50001,0.07548,-0.00609635,1.5,-0.0753957,-0.00603483,1.5,0.0756043,
0.1717,0,-0.642382,1.5,-0.0755094,-0.642527,1.5,0.0754906,-0.00351082,1.5,-0.0753796,-0.00345281,1.5,0.0756204,
0.1818,0,-0.644405,1.5,-0.0754985,-0.644544,1.5,0.0755014,-0.00128161,1.5,-0.0753646,-0.00122788,1.5,0.0756354,
0.1919,0,-0.646216,1.5,-0.0754878,-0.646348,1.5,0.0755122,0.00062369,1.5,-0.0753508,0.000672058,1.5,0.0756492,
0.202,0,-0.647829,1.5,-0.0754774,-0.647953,1.5,0.0755225,0.00224597,1.5,-0.0753385,0.00228773,1.5,0.0756615,
0.2121,0,-0.649256,1.5,-0.0754677,-0.64937,1.5,0.0755323,0.00362544,1.50001,-0.0753276,0.00365921,1.50001,0.0756724,
0.2222,0,-0.650507,1.50001,-0.0754587,-0.650609,1.50001,0.0755413,0.00478516,1.50001,-0.0753182,0.0048095,1.50001,0.0756818,
0.2323,0,-0.651568,1.50001,-0.0754507,-0.651656,1.50001,0.0755493,0.00575502,1.50002,-0.0753102,0.00576854,1.50002,0.0756898,
0.2424,0,-0.652453,1.50001,-0.0754438,-0.652526,1.50001,0.0755562,0.00658458,1.50002,-0.0753033,0.00658567,1.50002,0.0756967,
0.2525,0,-0.6532,1.50002,-0.075438,-0.653256,1.50002,0.075562,0.0072987,1.50003,-0.0752974,0.00728549,1.50003,0.0757026,
0.2626,0,-0.653839,1.50002,-0.075433,-0.653878,1.50002,0.075567,0.0079068,1.50003,-0.0752922,0.00787732,1.50003,0.0757078,
0.2727,0,-0.654399,1.50002,-0.0754286,-0.654418,1.50002,0.0755714,0.00840467,1.50004,-0.0752881,0.00835701,1.50004,0.0757119,
0.2828,0,-0.654901,1.50003,-0.0754247,-0.654898,1.50003,0.0755753,0.00879518,1.50004,-0.0752849,0.00872744,1.50004,0.0757151,
0.2929,0,-0.655351,1.50003,-0.0754213,-0.655324,1.50003,0.0755787,0.00908834,1.50004,-0.0752826,0.00899868,1.50004,0.0757173,
