CombinedSpineCont... started logging at time 03012018_174508 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.646767,1.549,-0.0754991,-0.646768,1.549,0.0755009,-0.00116061,1.54899,-0.0755009,-0.00116209,1.54898,0.0754991,
0.0202,0,-0.643968,1.54616,-0.0754981,-0.643971,1.54616,0.0755019,-0.00395792,1.54612,-0.0755028,-0.00396193,1.54612,0.0754972,
0.0303,0,-0.64036,1.54171,-0.0754973,-0.640366,1.54171,0.0755027,-0.00771755,1.54161,-0.0755051,-0.00772393,1.54161,0.0754949,
0.0404,0,-0.636309,1.53581,-0.0754962,-0.636317,1.53582,0.0755038,-0.0120261,1.53564,-0.0755075,-0.0120343,1.53563,0.0754925,
0.0505,0,-0.632016,1.52864,-0.0754948,-0.632026,1.52864,0.0755052,-0.0166284,1.52837,-0.0755103,-0.0166381,1.52836,0.0754897,
0.0606,0,-0.627607,1.52033,-0.0754927,-0.627618,1.52034,0.0755073,-0.0213573,1.51997,-0.0755133,-0.0213681,1.51996,0.0754867,
0.0707,0,-0.623184,1.51103,-0.0754899,-0.623197,1.51104,0.0755101,-0.026087,1.51059,-0.0755167,-0.0260986,1.51057,0.0754833,
0.0808,0,-0.618848,1.50084,-0.0754864,-0.618862,1.50085,0.0755136,-0.0307061,1.50033,-0.0755204,-0.0307185,1.50031,0.0754796,
0.0909,0,-0.618827,1.49822,-0.0756949,-0.618839,1.49808,0.075305,-0.0312512,1.49765,-0.0755873,-0.0311249,1.49765,0.0754127,
0.101,0,-0.622368,1.49777,-0.0756891,-0.622276,1.49759,0.0753108,-0.0290486,1.49762,-0.0756463,-0.0288334,1.49762,0.0753536,
0.1111,0,-0.62583,1.49757,-0.075473,-0.625632,1.49757,0.0755268,-0.0255915,1.49759,-0.0756785,-0.0253564,1.49759,0.0753213,
0.1212,0,-0.629577,1.49754,-0.0755456,-0.629428,1.49754,0.0754543,-0.0213363,1.49755,-0.0756931,-0.0211168,1.49755,0.0753067,
0.1313,0,-0.633398,1.49752,-0.0756105,-0.633307,1.49752,0.0753895,-0.0167145,1.49753,-0.0756951,-0.0165273,1.49753,0.0753048,
0.1414,0,-0.637116,1.49751,-0.0756653,-0.63708,1.49751,0.0753347,-0.0120947,1.49751,-0.0756895,-0.0119458,1.49751,0.0753105,
0.1515,0,-0.640622,1.4975,-0.0757082,-0.640629,1.4975,0.0752918,-0.0077386,1.4975,-0.0756802,-0.00762798,1.4975,0.0753198,
0.1616,0,-0.643854,1.4975,-0.0757391,-0.643889,1.4975,0.0752609,-0.00378487,1.4975,-0.0756697,-0.00370936,1.4975,0.0753303,
0.1717,0,-0.646795,1.4975,-0.0757594,-0.646846,1.4975,0.0752406,-0.000280928,1.49751,-0.0756609,-0.000235535,1.49751,0.0753391,
0.1818,0,-0.649458,1.49751,-0.0757715,-0.649514,1.49751,0.0752285,0.00278407,1.49752,-0.0756545,0.00280417,1.49752,0.0753455,
