CombinedSpineCont... started logging at time 02262018_131253 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.647545,1.54909,-0.0755,-0.647545,1.54909,0.0755,-0.000536835,1.54907,-0.0755,-0.000536835,1.54907,0.0755,
0.0202,0,-0.646499,1.54666,-0.0755,-0.646499,1.54666,0.0755,-0.00176422,1.5466,-0.0755,-0.00176422,1.5466,0.0755,
0.0303,0,-0.645126,1.54296,-0.0755,-0.645126,1.54296,0.0755,-0.0033576,1.54287,-0.0755,-0.0033576,1.54287,0.0755,
0.0404,0,-0.643617,1.53819,-0.0755,-0.643617,1.53819,0.0755,-0.00509395,1.53806,-0.0755,-0.00509395,1.53806,0.0755,
0.0505,0,-0.642105,1.53245,-0.0755,-0.642105,1.53245,0.0755,-0.00681747,1.53229,-0.0755,-0.00681747,1.53229,0.0755,
0.0606,0,-0.64068,1.52582,-0.0755,-0.64068,1.52582,0.0755,-0.00842527,1.52564,-0.0755,-0.00842527,1.52564,0.0755,
0.0707,0,-0.639397,1.51833,-0.0755,-0.639397,1.51833,0.0755,-0.00985586,1.51814,-0.0755,-0.00985586,1.51814,0.0755,
0.0808,0,-0.638283,1.51,-0.0755,-0.638283,1.51,0.0755,-0.0110795,1.50981,-0.0755,-0.0110795,1.50981,0.0755,
0.0909,0,-0.637354,1.50083,-0.0755,-0.637354,1.50083,0.0755,-0.0120781,1.50064,-0.0755,-0.0120781,1.50064,0.0755,
0.101,0,-0.639326,1.49764,-0.0755,-0.639326,1.49764,0.0755,-0.0103174,1.49753,-0.0755,-0.0103174,1.49753,0.0755,
